Latitude,Longitude,City,Metropolitan Statistical Area,Average Daily Rate (USD),Annual Revenue LTM (USD),Airbnb Superhost,Occupancy Rate LTM,Airbnb Host ID,Property ID,Property Type
18.40209,-66.03314,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",58.21,8557,TRUE,0.454,130669566,ab-34948054,House
18.02683,-67.13484,Boqueron,"San Germán, PR Metro Area",112,5152,FALSE,0.178,263342470,ab-34948129,House
18.009,-66.612,Ponce,"Ponce, PR Metro Area",98.57,4140,FALSE,0.344,56229484,ab-34966248,Apartment
18.24319,-66.72139,Utuado,"Aguadilla-Isabela, PR Metro Area",52.09,1146,FALSE,0.71,171086904,ab-34967674,Cabin
18.1328,-66.27293,Aibonito,"San Juan-Carolina-Caguas, PR Metro Area",87.94,5452,FALSE,0.259,43816476,ab-34968167,Apartment
18.35426,-67.26748,Rincon,"Aguadilla-Isabela, PR Metro Area",425,2975,FALSE,0.226,2257303,ab-34969988,House
18.45185,-66.05398,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",79,237,TRUE,0.167,71330551,ab-34970159,Apartment
18.01913,-66.1457,NA,"Guayama, PR Metro Area",72.16,6350,TRUE,0.571,198226382,ab-34973750,Apartment
18.4436,-66.02455,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",222.73,12250,FALSE,0.212,33770670,ab-34975381,Condominium
18.341,-67.255,Rincon,"Aguadilla-Isabela, PR Metro Area",126.04,37307,TRUE,0.881,32720782,ab-34976025,Apartment
18.23468,-66.0144,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",56.31,10024,TRUE,0.682,242105150,ab-34977050,House
18.42843,-66.01738,NA,"San Juan-Carolina-Caguas, PR Metro Area",41.94,2181,FALSE,0.722,182980560,ab-34977279,Condominium
17.96446,-66.30398,Salinas,"Coco, PR Micro Area",63.55,6482,FALSE,0.375,171015079,ab-34977388,House
18.14256,-65.47185,Vieques,NA,115,2185,FALSE,0.218,263533008,ab-34978041,House
18.3885,-65.75739,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",1167,21006,FALSE,0.151,121074509,ab-34978422,House
18.063,-66.1,Guayama,"Guayama, PR Metro Area",95.87,17448,TRUE,0.5,263539779,ab-34978810,Cabin
18.37525,-65.71189,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",83.57,3510,FALSE,0.512,121074509,ab-34978915,Condominium
18.47604,-66.32711,Vega Alta,"San Juan-Carolina-Caguas, PR Metro Area",177.49,18104,TRUE,0.557,129631567,ab-34979132,Apartment
18.50308,-67.10076,San Antonio,"Aguadilla-Isabela, PR Metro Area",99.22,3175,FALSE,0.212,61048501,ab-34979297,Apartment
18.428,-65.847,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",131.96,16363,TRUE,0.579,205028679,ab-34982505,Apartment
18.24029,-67.12631,Mayaguez,"Mayagüez, PR Metro Area",49.89,2195,TRUE,0.275,123760159,ab-34998374,Villa
18.3968,-65.76985,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",126.83,9005,TRUE,0.277,129631567,ab-34999272,Apartment
18.24164,-67.12759,Mayaguez,"Mayagüez, PR Metro Area",44.47,3513,TRUE,0.225,123760159,ab-35000234,Villa
18.44213,-66.13037,Catano,"San Juan-Carolina-Caguas, PR Metro Area",78.73,7007,TRUE,0.295,222096477,ab-35001615,Apartment
18.47718,-66.27204,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",127.01,10796,TRUE,0.409,129631567,ab-35002257,Townhouse
18.51411,-67.09989,Isabela,"Aguadilla-Isabela, PR Metro Area",250.09,13255,FALSE,0.251,263706268,ab-35003469,Serviced apartment
18.161,-65.761,Punta Santiago,"San Juan-Carolina-Caguas, PR Metro Area",73.68,13558,FALSE,0.65,263704036,ab-35003650,House
18.492,-67.119,Aguadilla,"Aguadilla-Isabela, PR Metro Area",61.32,1717,FALSE,0.326,193086076,ab-35003689,Loft
18.07817,-67.04036,San German,"San Germán, PR Metro Area",118.55,4742,TRUE,0.205,231206087,ab-35004695,House
17.93621,-67.18926,NA,"San Germán, PR Metro Area",128.29,898,FALSE,0.113,81491405,ab-35005548,Apartment
17.98414,-66.63496,Ponce,"Ponce, PR Metro Area",56.96,7064,TRUE,0.375,263670618,ab-35006057,Camper/RV
18.44393,-66.05116,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",40.72,7004,FALSE,0.652,138223579,ab-35006107,Apartment
18.37979,-67.21439,Aguada,"Aguadilla-Isabela, PR Metro Area",87.16,3922,FALSE,0.209,28445596,ab-35007545,Apartment
18.36295,-66.09806,Guaynabo,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,263741537,ab-35007648,House
18.47894,-66.68294,Arecibo,"Arecibo, PR Metro Area",173.74,23281,TRUE,0.387,234347425,ab-35007783,Condominium
18.08363,-65.80058,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",109.22,3495,FALSE,0.205,139881296,ab-35008449,Villa
18.38146,-67.21338,Aguada,"Aguadilla-Isabela, PR Metro Area",86.65,2686,FALSE,0.127,28445596,ab-35008707,Apartment
18.38058,-67.21257,Aguada,"Aguadilla-Isabela, PR Metro Area",85.9,3436,FALSE,0.19,28445596,ab-35008829,Apartment
18.08903,-65.79742,Humacao,"San Juan-Carolina-Caguas, PR Metro Area",202.89,14405,FALSE,1,263747086,ab-35009371,Villa
18.38489,-66.10622,Guaynabo,"San Juan-Carolina-Caguas, PR Metro Area",54.84,3345,FALSE,0.252,40026296,ab-35009452,Apartment
18.34983,-65.69613,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",238.61,18850,TRUE,0.432,146801366,ab-35009461,House
18.30956,-65.30366,Culebra,NA,136.72,6973,FALSE,0.282,95637316,ab-35009592,House
18.4993,-67.02589,Isabela,"Aguadilla-Isabela, PR Metro Area",66.75,10147,TRUE,0.421,262142272,ab-35010831,Room in boutique hotel
17.97612,-67.04709,Lajas,"San Germán, PR Metro Area",203.75,1630,FALSE,0.09,227484174,ab-35011659,Cabin
18.40293,-65.77428,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",252.75,6066,FALSE,0.162,124335717,ab-35012697,Villa
18.38481,-67.17418,Aguada,"Aguadilla-Isabela, PR Metro Area",69.79,6630,TRUE,0.382,263807356,ab-35015981,Apartment
18.02454,-67.15026,Boqueron,"San Germán, PR Metro Area",NA,0,FALSE,NA,132867452,ab-35026701,Serviced apartment
18.40256,-66.00431,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",80.91,9305,TRUE,0.387,104674832,ab-35030472,House
18.51435,-67.08581,Isabela,"Aguadilla-Isabela, PR Metro Area",184.08,42891,TRUE,0.637,7117926,ab-35030817,Condominium
18.3596,-65.72584,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",101.29,6787,FALSE,0.817,21168482,ab-35031563,Apartment
18.27613,-66.5743,Jayuya,"Jayuya, PR Micro Area",98.16,3141,FALSE,0.146,263894358,ab-35031710,House
18.30917,-65.30341,Culebra,NA,121.82,4020,FALSE,0.268,95637316,ab-35033933,House
18.0282,-67.10885,Lajas,"San Germán, PR Metro Area",NA,0,FALSE,NA,132867452,ab-35035265,Serviced apartment
18.39103,-67.10614,Moca,"Aguadilla-Isabela, PR Metro Area",63.66,3692,TRUE,0.337,263790085,ab-35035716,Apartment
18.24999,-65.66072,Ceiba,"San Juan-Carolina-Caguas, PR Metro Area",145,1305,FALSE,0.075,259978281,ab-35051463,Casa particular
18.47862,-66.27658,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",139.53,19673,TRUE,0.445,113465348,ab-35057343,Apartment
18.40707,-67.16982,Aguada,"Aguadilla-Isabela, PR Metro Area",79.29,13479,TRUE,0.639,124068517,ab-35058976,Apartment
18.492,-67.072,Isabela,"Aguadilla-Isabela, PR Metro Area",47.52,4800,TRUE,0.352,264148681,ab-35066337,Tiny house
18.2286,-66.72317,Utuado,"Aguadilla-Isabela, PR Metro Area",200,9200,FALSE,0.127,256535872,ab-35066489,House
18.30411,-66.59454,Florida,"Aguadilla-Isabela, PR Metro Area",200,2800,FALSE,0.165,256535872,ab-35066617,House
18.23016,-66.72337,Utuado,"Aguadilla-Isabela, PR Metro Area",200,1400,FALSE,0.084,256535872,ab-35066638,House
18.46488,-66.09282,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",95.5,191,FALSE,0.065,18257074,ab-35067763,Condominium
18.35823,-65.72236,Luquillo,"San Juan-Carolina-Caguas, PR Metro Area",229.7,15849,TRUE,0.24,76955599,ab-35076966,House
18.37588,-65.84041,Rio Grande,"San Juan-Carolina-Caguas, PR Metro Area",61.39,6078,FALSE,0.478,264267208,ab-35082467,Condominium
18.40154,-66.1701,Bayamon,"San Juan-Carolina-Caguas, PR Metro Area",65.49,7662,TRUE,0.544,54526125,ab-35082650,Apartment
18.43974,-66.02939,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",66.4,7437,TRUE,0.367,246259456,ab-35083006,Apartment
18.51023,-67.0164,Isabela,"Aguadilla-Isabela, PR Metro Area",150,9600,FALSE,0.228,246678328,ab-35083839,Apartment
17.97682,-67.05572,Lajas,"San Germán, PR Metro Area",110.71,11182,FALSE,0.326,19255861,ab-35093121,Camper/RV
